
2024/11/22 (14:15:38) | ===> btop++ v.1.3.2
2024/11/22 (14:15:38) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/22 (22:56:51) | ===> btop++ v.1.3.2
2024/11/22 (22:56:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/01 (23:02:42) | ===> btop++ v.1.3.2
2024/12/01 (23:02:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/05 (18:10:51) | ===> btop++ v.1.3.2
2024/12/05 (18:10:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/05 (18:27:43) | ===> btop++ v.1.3.2
2024/12/05 (18:27:43) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
