
2025/02/12 (21:31:21) | ===> btop++ v.1.4.0
2025/02/12 (21:31:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/12 (21:47:00) | ===> btop++ v.1.4.0
2025/02/12 (21:47:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (10:32:47) | ===> btop++ v.1.4.0
2025/03/04 (10:32:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/05 (16:07:02) | ===> btop++ v.1.4.0
2025/04/05 (16:07:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/10 (19:48:14) | ===> btop++ v.1.4.0
2025/04/10 (19:48:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (00:38:41) | ===> btop++ v.1.4.0
2025/04/21 (00:38:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (00:43:57) | ===> btop++ v.1.4.0
2025/04/21 (00:43:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/21 (00:46:00) | ===> btop++ v.1.4.0
2025/04/21 (00:46:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/22 (02:53:49) | ===> btop++ v.1.4.0
2025/04/22 (02:53:49) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (19:00:48) | ===> btop++ v.1.4.0
2025/04/24 (19:00:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/24 (23:02:47) | ===> btop++ v.1.4.0
2025/04/24 (23:02:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/04/28 (18:09:37) | ===> btop++ v.1.4.0
2025/04/28 (18:09:37) | WARNING: Intel GPU: Failed to initialize PMU
